policy_id,method,budget_groups,accuracy,macro_f1,mean_queried_groups,mean_calls,mean_declared_cost,num_samples
all_K28,all,28,0.32659932659932656,0.2968294483294483,28.0,1.0,28.0,594
fixed_K1,fixed,1,0.03535353535353536,0.012827762192145754,1.0,1.0,1.0,594
fixed_K16,fixed,16,0.2609427609427609,0.22718878343878343,16.0,16.0,16.0,594
fixed_K2,fixed,2,0.101010101010101,0.06918376316043659,2.0,2.0,2.0,594
fixed_K28,fixed,28,0.32659932659932656,0.2968294483294483,28.0,28.0,28.0,594
fixed_K4,fixed,4,0.16161616161616166,0.12335568160217529,4.0,4.0,4.0,594
fixed_K8,fixed,8,0.18013468013468015,0.14883073850465156,8.0,8.0,8.0,594
random_K1,random,1,0.07407407407407407,0.039051731831074334,1.0,1.0,1.0,594
random_K16,random,16,0.2710437710437711,0.24000822788322787,16.0,16.0,16.0,594
random_K2,random,2,0.07744107744107742,0.038318790238011206,2.0,2.0,2.0,594
random_K28,random,28,0.32659932659932656,0.2968294483294483,28.0,28.0,28.0,594
random_K4,random,4,0.12962962962962965,0.08553388388302181,4.0,4.0,4.0,594
random_K8,random,8,0.19191919191919193,0.16350608209872916,8.0,8.0,8.0,594
stop_K1,stop,1,0.005050505050505083,5.0251256281407036e-05,0.0,0.0,0.0,594
stop_K16,stop,16,0.005050505050505083,5.0251256281407036e-05,0.0,0.0,0.0,594
stop_K2,stop,2,0.005050505050505083,5.0251256281407036e-05,0.0,0.0,0.0,594
stop_K28,stop,28,0.005050505050505083,5.0251256281407036e-05,0.0,0.0,0.0,594
stop_K4,stop,4,0.005050505050505083,5.0251256281407036e-05,0.0,0.0,0.0,594
stop_K8,stop,8,0.005050505050505083,5.0251256281407036e-05,0.0,0.0,0.0,594
